Date,Time,Total_Wind_Power(MWh)
20131101,1,1573.0
20131101,2,1388.988
20131101,3,1340.35
20131101,4,1258.113
20131101,5,1257.188
20131101,6,1269.313
20131101,7,1283.175
20131101,8,1260.513
20131101,9,1064.9
20131101,10,851.638
20131101,11,753.825
20131101,12,687.775
20131101,13,611.863
20131101,14,613.613
20131101,15,631.575
20131101,16,719.338
20131101,17,788.775
20131101,18,889.288
20131101,19,992.45
20131101,20,1021.088
20131101,21,1009.725
20131101,22,986.713
20131101,23,899.763
20131101,0,848.175
20131102,1,839.025
20131102,2,828.063
20131102,3,731.525
20131102,4,668.525
20131102,5,692.275
20131102,6,784.763
20131102,7,859.625
20131102,8,951.05
20131102,9,915.65
20131102,10,878.713
20131102,11,842.863
20131102,12,875.063
20131102,13,1013.35
20131102,14,977.025
20131102,15,1079.788
20131102,16,1252.925
20131102,17,1344.65
20131102,18,1354.538
20131102,19,1366.525
20131102,20,1318.413
20131102,21,1320.65
20131102,22,1237.288
20131102,23,1096.85
20131102,0,987.088
20131103,1,921.8
20131103,2,901.638
20131103,3,808.163
20131103,4,733.088
20131103,5,646.225
20131103,6,641.75
20131103,7,679.425
20131103,8,779.15
20131103,9,872.025
20131103,10,774.788
20131103,11,676.113
20131103,12,742.163
20131103,13,759.575
20131103,14,830.975
20131103,15,992.675
20131103,16,1117.875
20131103,17,1305.238
20131103,18,1402.838
20131103,19,1503.613
20131103,20,1698.488
20131103,21,1814.113
20131103,22,1945.863
20131103,23,2056.263
20131103,0,2095.288
20131104,1,2057.513
20131104,2,2108.363
20131104,3,2000.888
20131104,4,1949.763
20131104,5,1990.063
20131104,6,2020.863
20131104,7,1902.188
20131104,8,1785.8
20131104,9,1717.688
20131104,10,1638.013
20131104,11,1710.975
20131104,12,1816.788
20131104,13,2055.913
20131104,14,2181.55
20131104,15,2336.925
20131104,16,2507.938
20131104,17,2515.363
20131104,18,2529.85
20131104,19,2540.825
20131104,20,2602.963
20131104,21,2558.538
20131104,22,2580.313
20131104,23,2431.838
20131104,0,2356.788
20131105,1,2291.613
20131105,2,2230.638
20131105,3,2135.038
20131105,4,2001.35
20131105,5,1769.125
20131105,6,1748.0
20131105,7,1666.375
20131105,8,1527.463
20131105,9,1306.05
20131105,10,1414.563
20131105,11,1324.213
20131105,12,1169.35
20131105,13,962.325
20131105,14,796.288
20131105,15,624.4
20131105,16,544.388
20131105,17,505.575
20131105,18,494.963
20131105,19,484.325
20131105,20,490.963
20131105,21,396.3
20131105,22,412.938
20131105,23,429.963
20131105,0,414.363
20131106,1,393.425
20131106,2,317.438
20131106,3,275.075
20131106,4,329.838
20131106,5,358.138
20131106,6,355.938
20131106,7,391.563
20131106,8,481.763
20131106,9,527.288
20131106,10,470.613
20131106,11,516.2
20131106,12,505.125
20131106,13,517.988
20131106,14,577.5
20131106,15,624.125
20131106,16,749.388
20131106,17,868.938
20131106,18,1047.225
20131106,19,1124.8
20131106,20,1358.038
20131106,21,1429.188
20131106,22,1452.738
20131106,23,1392.425
20131106,0,1196.313
20131107,1,1022.55
20131107,2,930.813
20131107,3,808.625
20131107,4,758.2
20131107,5,753.163
20131107,6,734.288
20131107,7,767.513
20131107,8,827.113
20131107,9,815.613
20131107,10,785.825
20131107,11,865.125
20131107,12,813.063
20131107,13,938.6
20131107,14,1047.65
20131107,15,1171.363
20131107,16,1221.588
20131107,17,1129.525
20131107,18,1178.825
20131107,19,1223.7
20131107,20,1184.05
20131107,21,1101.425
20131107,22,1018.213
20131107,23,872.288
20131107,0,746.65
